Life tables (period 5x5), Total 	Last modified: 05 Aug 2025; Methods Protocol: v6 (2017) 

PopName    Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
GBR_NP   1975-1979     60-64     0.01814  0.08702  2.65   84782    7377  406610  1544006  18.21
GBR_NP   1975-1979     65-69     0.02870  0.13432  2.63   77405   10397  362341  1137396  14.69
GBR_NP   1975-1979     70-74     0.04551  0.20512  2.60   67008   13745  302047   775055  11.57
GBR_NP   1975-1979     75-79     0.07139  0.30345  2.53   53263   16163  226395   473008   8.88
GBR_NP   1975-1979     80-84     0.11135  0.43410  2.46   37100   16105  144639   246613   6.65
GBR_NP   1975-1979     85-89     0.17297  0.59072  2.32   20995   12402   71703   101973   4.86
GBR_NP   1975-1979     90-94     0.26018  0.74471  2.13    8593    6399   24595    30270   3.52
GBR_NP   1975-1979     95-99     0.37227  0.86232  1.89    2194    1892    5081     5675   2.59
GBR_NP   1975-1979    100-104    0.50176  0.93317  1.63     302     282     562      593   1.96
GBR_NP   1975-1979    105-109    0.63343  0.96802  1.41      20      20      31       32   1.57
GBR_NP   1975-1979    110+       0.73478  1.00000  1.36       1       1       1        1   1.36
GBR_NP   1980-1984        0      0.01096  0.01086  0.13  100000    1086   99052  7409997  74.10
GBR_NP   1980-1984      1-4      0.00047  0.00188  1.59   98914     186  395209  7310945  73.91
GBR_NP   1980-1984      5-9      0.00023  0.00117  2.36   98728     116  493336  6915736  70.05
GBR_NP   1980-1984     10-14     0.00024  0.00119  2.65   98612     117  492788  6422399  65.13
GBR_NP   1980-1984     15-19     0.00056  0.00278  2.84   98496     274  491884  5929612  60.20
GBR_NP   1980-1984     20-24     0.00061  0.00306  2.44   98221     301  490336  5437727  55.36
GBR_NP   1980-1984     25-29     0.00065  0.00326  2.55   97921     319  488820  4947391  50.52
GBR_NP   1980-1984     30-34     0.00079  0.00396  2.62   97601     386  487085  4458571  45.68
GBR_NP   1980-1984     35-39     0.00117  0.00582  2.69   97215     566  484763  3971486  40.85
GBR_NP   1980-1984     40-44     0.00200  0.00995  2.72   96649     962  481048  3486723  36.08
GBR_NP   1980-1984     45-49     0.00356  0.01768  2.73   95687    1691  474588  3005675  31.41
GBR_NP   1980-1984     50-54     0.00625  0.03082  2.72   93996    2897  463361  2531088  26.93
GBR_NP   1980-1984     55-59     0.01067  0.05208  2.68   91099    4745  444480  2067726  22.70
GBR_NP   1980-1984     60-64     0.01710  0.08218  2.64   86354    7097  415028  1623246  18.80
GBR_NP   1980-1984     65-69     0.02667  0.12544  2.63   79257    9942  372730  1208218  15.24
GBR_NP   1980-1984     70-74     0.04221  0.19165  2.60   69315   13285  314734   835489  12.05
GBR_NP   1980-1984     75-79     0.06608  0.28431  2.55   56030   15930  241061   520755   9.29
GBR_NP   1980-1984     80-84     0.10410  0.41188  2.47   40100   16517  158661   279693   6.97
GBR_NP   1980-1984     85-89     0.16059  0.56313  2.35   23584   13281   82700   121033   5.13
GBR_NP   1980-1984     90-94     0.24355  0.72081  2.17   10303    7427   30494    38333   3.72
GBR_NP   1980-1984     95-99     0.35103  0.84520  1.93    2876    2431    6926     7839   2.73
GBR_NP   1980-1984    100-104    0.47928  0.92428  1.68     445     412     859      913   2.05
GBR_NP   1980-1984    105-109    0.61246  0.96405  1.45      34      33      53       55   1.62
GBR_NP   1980-1984    110+       0.71630  1.00000  1.40       1       1       2        2   1.40
GBR_NP   1985-1989        0      0.00919  0.00912  0.13  100000     912   99207  7502253  75.02
