Life tables (period 5x10), Total 	Last modified: 05 Aug 2025; Methods Protocol: v6 (2017) 

PopName    Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
NLD      1980-1989     30-34     0.00073  0.00362  2.60   98031     355  489305  4676692  47.71
NLD      1980-1989     35-39     0.00104  0.00520  2.64   97677     508  487185  4187387  42.87
NLD      1980-1989     40-44     0.00168  0.00839  2.71   97168     815  483974  3700202  38.08
NLD      1980-1989     45-49     0.00287  0.01426  2.71   96353    1374  478613  3216228  33.38
NLD      1980-1989     50-54     0.00489  0.02416  2.70   94979    2295  469622  2737615  28.82
NLD      1980-1989     55-59     0.00806  0.03957  2.68   92684    3667  454910  2267993  24.47
NLD      1980-1989     60-64     0.01303  0.06324  2.66   89017    5630  431932  1813084  20.37
NLD      1980-1989     65-69     0.02118  0.10086  2.65   83387    8411  397140  1381152  16.56
NLD      1980-1989     70-74     0.03407  0.15760  2.63   74976   11816  346849   984012  13.12
NLD      1980-1989     75-79     0.05547  0.24457  2.58   63160   15447  278460   637163  10.09
NLD      1980-1989     80-84     0.09013  0.36829  2.52   47713   17572  194959   358703   7.52
NLD      1980-1989     85-89     0.14655  0.53022  2.39   30141   15981  109049   163744   5.43
NLD      1980-1989     90-94     0.23078  0.70178  2.21   14160    9937   43058    54695   3.86
NLD      1980-1989     95-99     0.34594  0.84188  1.95    4223    3555   10276    11637   2.76
NLD      1980-1989    100-104    0.48225  0.92615  1.67     668     618    1282     1361   2.04
NLD      1980-1989    105-109    0.62182  0.96610  1.43      49      48      77       79   1.60
NLD      1980-1989    110+       0.72776  1.00000  1.37       2       2       2        2   1.37
NLD      1990-1999        0      0.00586  0.00583  0.14  100000     583   99497  7751143  77.51
NLD      1990-1999      1-4      0.00033  0.00132  1.56   99417     131  397348  7651646  76.97
NLD      1990-1999      5-9      0.00015  0.00077  2.29   99286      76  496223  7254298  73.06
NLD      1990-1999     10-14     0.00017  0.00086  2.78   99210      85  495858  6758075  68.12
NLD      1990-1999     15-19     0.00038  0.00190  2.74   99124     188  495197  6262216  63.18
NLD      1990-1999     20-24     0.00049  0.00243  2.51   98936     241  494083  5767020  58.29
NLD      1990-1999     25-29     0.00055  0.00273  2.55   98696     270  492816  5272937  53.43
NLD      1990-1999     30-34     0.00070  0.00351  2.65   98426     346  491314  4780122  48.57
NLD      1990-1999     35-39     0.00101  0.00504  2.66   98080     494  489243  4288807  43.73
NLD      1990-1999     40-44     0.00162  0.00806  2.70   97586     786  486119  3799564  38.94
