Life tables (period 5x5), Females 	Last modified: 05 Aug 2025; Methods Protocol: v6 (2017) 

PopName    Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
TWN      2010-2014     35-39     0.00077  0.00383  2.68   98680     378  492525  4778575  48.42
TWN      2010-2014     40-44     0.00114  0.00568  2.65   98302     559  490198  4286049  43.60
TWN      2010-2014     45-49     0.00175  0.00870  2.65   97744     850  486718  3795851  38.83
TWN      2010-2014     50-54     0.00260  0.01291  2.66   96894    1251  481542  3309133  34.15
TWN      2010-2014     55-59     0.00377  0.01870  2.67   95643    1789  474045  2827591  29.56
TWN      2010-2014     60-64     0.00593  0.02926  2.67   93854    2746  462874  2353546  25.08
TWN      2010-2014     65-69     0.00969  0.04739  2.71   91109    4318  445646  1890672  20.75
TWN      2010-2014     70-74     0.01697  0.08162  2.68   86791    7084  417541  1445026  16.65
TWN      2010-2014     75-79     0.03062  0.14289  2.67   79707   11389  371942  1027485  12.89
TWN      2010-2014     80-84     0.05566  0.24585  2.63   68318   16796  301775   655543   9.60
TWN      2010-2014     85-89     0.10018  0.40178  2.54   51522   20700  206633   353768   6.87
TWN      2010-2014     90-94     0.17318  0.59327  2.35   30821   18285  105587   147135   4.77
TWN      2010-2014     95-99     0.27754  0.77055  2.11   12536    9660   34804    41548   3.31
TWN      2010-2014    100-104    0.41402  0.89296  1.82    2876    2569    6204     6744   2.34
TWN      2010-2014    105-109    0.56560  0.95431  1.53     308     294     519      540   1.75
TWN      2010-2014    110+       0.68738  1.00000  1.45      14      14      20       20   1.45
TWN      2015-2019        0      0.00392  0.00391  0.14  100000     391   99665  8335916  83.36
TWN      2015-2019      1-4      0.00017  0.00070  1.65   99609      70  398274  8236252  82.69
TWN      2015-2019      5-9      0.00010  0.00048  2.37   99540      48  497572  7837977  78.74
TWN      2015-2019     10-14     0.00011  0.00056  2.67   99492      55  497329  7340405  73.78
TWN      2015-2019     15-19     0.00020  0.00102  2.88   99436     102  496966  6843076  68.82
TWN      2015-2019     20-24     0.00027  0.00133  2.58   99335     132  496354  6346110  63.89
TWN      2015-2019     25-29     0.00032  0.00162  2.60   99202     161  495627  5849756  58.97
TWN      2015-2019     30-34     0.00049  0.00244  2.67   99042     242  494645  5354129  54.06
TWN      2015-2019     35-39     0.00072  0.00359  2.67   98800     354  493175  4859484  49.19
TWN      2015-2019     40-44     0.00107  0.00535  2.66   98446     526  490997  4366308  44.35
TWN      2015-2019     45-49     0.00164  0.00818  2.67   97919     801  487729  3875312  39.58
TWN      2015-2019     50-54     0.00246  0.01221  2.62   97118    1186  482771  3387583  34.88
TWN      2015-2019     55-59     0.00353  0.01751  2.64   95932    1680  475698  2904813  30.28
TWN      2015-2019     60-64     0.00530  0.02620  2.68   94252    2469  465521  2429115  25.77
TWN      2015-2019     65-69     0.00850  0.04167  2.68   91783    3824  450057  1963594  21.39
TWN      2015-2019     70-74     0.01495  0.07227  2.70   87959    6357  425171  1513536  17.21
TWN      2015-2019     75-79     0.02718  0.12792  2.71   81602   10439  384080  1088366  13.34
TWN      2015-2019     80-84     0.05184  0.23110  2.66   71163   16445  317265   704286   9.90
TWN      2015-2019     85-89     0.09547  0.38674  2.55   54717   21161  221661   387021   7.07
TWN      2015-2019     90-94     0.16504  0.57634  2.38   33556   19340  117183   165361   4.93
TWN      2015-2019     95-99     0.26983  0.76087  2.13   14217   10817   40088    48178   3.39
TWN      2015-2019    100-104    0.40712  0.88900  1.83    3400    3022    7423     8090   2.38
TWN      2015-2019    105-109    0.56104  0.95327  1.54     377     360     641      667   1.77
TWN      2015-2019    110+       0.68520  1.00000  1.46      18      18      26       26   1.46
TWN      2020-2023        0      0.00378  0.00376  0.14  100000     376   99677  8365243  83.65
TWN      2020-2023      1-4      0.00016  0.00066  1.56   99624      65  398335  8265566  82.97
TWN      2020-2023      5-9      0.00009  0.00044  2.59   99558      44  497686  7867231  79.02
TWN      2020-2023     10-14     0.00012  0.00059  2.79   99515      59  497444  7369545  74.05
TWN      2020-2023     15-19     0.00024  0.00119  2.75   99456     118  497014  6872101  69.10
TWN      2020-2023     20-24     0.00033  0.00167  2.46   99338     166  496267  6375087  64.18
TWN      2020-2023     25-29     0.00035  0.00177  2.64   99172     176  495444  5878820  59.28
TWN      2020-2023     30-34     0.00044  0.00220  2.60   98996     217  494459  5383376  54.38
TWN      2020-2023     35-39     0.00066  0.00329  2.66   98779     325  493134  4888918  49.49
